dsname,rel2,diname
straightaway1,Driving_Intent,brake
straightaway2,Driving_Intent,decelerate
straightaway3,Driving_Intent,brake
straightaway4,Driving_Intent,decelerate
straightaway5,Driving_Intent,decelerate
straightaway6,Driving_Intent,decelerate
straightaway7,Driving_Intent,decelerate
straightaway8,Driving_Intent,decelerate
straightaway9,Driving_Intent,decelerate
straightaway10,Driving_Intent,decelerate
straightaway11,Driving_Intent,brake
straightaway12,Driving_Intent,decelerate
straightaway13,Driving_Intent,accelerate
straightaway14,Driving_Intent,accelerate
straightaway15,Driving_Intent,accelerate
straightaway16,Driving_Intent,accelerate
straightaway17,Driving_Intent,accelerate
straightaway18,Driving_Intent,accelerate
straightaway19,Driving_Intent,accelerate
straightaway20,Driving_Intent,accelerate
straightaway21,Driving_Intent,accelerate
straightaway22,Driving_Intent,Left_lane_change
straightaway23,Driving_Intent,Left_lane_change
straightaway24,Driving_Intent,Left_lane_change
straightaway25,Driving_Intent,Left_lane_change
straightaway26,Driving_Intent,Left_lane_change
straightaway27,Driving_Intent,Left_lane_change
straightaway28,Driving_Intent,Left_lane_change
straightaway29,Driving_Intent,Left_lane_change
straightaway30,Driving_Intent,Left_lane_change
straightaway31,Driving_Intent,Right_lane_change
straightaway32,Driving_Intent,Right_lane_change
straightaway33,Driving_Intent,Right_lane_change
straightaway34,Driving_Intent,Right_lane_change
straightaway35,Driving_Intent,Right_lane_change
straightaway36,Driving_Intent,Right_lane_change
straightaway37,Driving_Intent,Right_lane_change
straightaway38,Driving_Intent,Right_lane_change
straightaway39,Driving_Intent,Right_lane_change
straightaway40,Driving_Intent,Right_lane_change
Intersection1,Driving_Intent,Turn_left
Intersection2,Driving_Intent,Turn_left
Intersection3,Driving_Intent,Turn_left
Intersection4,Driving_Intent,Turn_left
Intersection5,Driving_Intent,Turn_left
Intersection6,Driving_Intent,Turn_left
Intersection7,Driving_Intent,Turn_left
Intersection8,Driving_Intent,Turn_left
Intersection9,Driving_Intent,Turn_left
Intersection10,Driving_Intent,Turn_left
Intersection11,Driving_Intent,Turn_left
Intersection12,Driving_Intent,Turn_left
Intersection13,Driving_Intent,Turn_left
Intersection14,Driving_Intent,Turn_left
Intersection15,Driving_Intent,Turn_left
Intersection16,Driving_Intent,Turn_left
Intersection17,Driving_Intent,Turn_left
Intersection18,Driving_Intent,Turn_left
Intersection19,Driving_Intent,Turn_left
Intersection20,Driving_Intent,Turn_left
Intersection21,Driving_Intent,Turn_left
Intersection22,Driving_Intent,Turn_left
Intersection23,Driving_Intent,Turn_left
Intersection24,Driving_Intent,Turn_left
Intersection25,Driving_Intent,Turn_left
Intersection26,Driving_Intent,Turn_left
Intersection27,Driving_Intent,Turn_left
Intersection28,Driving_Intent,Go_straight
Intersection29,Driving_Intent,Go_straight
Intersection30,Driving_Intent,Go_straight
Intersection31,Driving_Intent,Go_straight
Intersection32,Driving_Intent,Go_straight
Intersection33,Driving_Intent,Go_straight
Intersection34,Driving_Intent,Go_straight
Intersection35,Driving_Intent,Go_straight
Intersection36,Driving_Intent,Go_straight
Intersection37,Driving_Intent,Go_straight
Intersection38,Driving_Intent,Go_straight
Intersection39,Driving_Intent,Go_straight
Intersection40,Driving_Intent,Go_straight
Intersection41,Driving_Intent,Go_straight
Intersection42,Driving_Intent,Go_straight
Intersection43,Driving_Intent,Go_straight
Intersection44,Driving_Intent,Go_straight
Intersection45,Driving_Intent,Go_straight
Intersection46,Driving_Intent,Go_straight
Intersection47,Driving_Intent,Go_straight
Intersection48,Driving_Intent,Go_straight
Intersection49,Driving_Intent,Go_straight
Intersection50,Driving_Intent,Go_straight
Intersection51,Driving_Intent,Go_straight
Intersection52,Driving_Intent,Go_straight
Intersection53,Driving_Intent,Go_straight
Intersection54,Driving_Intent,Go_straight
Intersection55,Driving_Intent,Go_straight
Intersection56,Driving_Intent,Go_straight
Intersection57,Driving_Intent,Go_straight
Intersection58,Driving_Intent,Go_straight
Intersection59,Driving_Intent,Go_straight
Intersection60,Driving_Intent,Go_straight
Intersection61,Driving_Intent,Go_straight
Intersection62,Driving_Intent,Go_straight
Intersection63,Driving_Intent,Go_straight
Intersection64,Driving_Intent,Go_straight
Intersection65,Driving_Intent,Go_straight
Intersection66,Driving_Intent,Go_straight
Intersection67,Driving_Intent,Go_straight
Intersection68,Driving_Intent,Go_straight
Intersection69,Driving_Intent,Go_straight
Intersection70,Driving_Intent,Go_straight
Intersection71,Driving_Intent,Go_straight
Intersection72,Driving_Intent,Go_straight
Intersection73,Driving_Intent,Go_straight
Intersection74,Driving_Intent,Turn_right
Intersection75,Driving_Intent,Turn_right
Intersection76,Driving_Intent,Turn_right
Intersection77,Driving_Intent,Turn_right
Intersection78,Driving_Intent,Turn_right
Intersection79,Driving_Intent,Turn_right
Intersection80,Driving_Intent,Turn_right
Intersection81,Driving_Intent,Turn_right
Intersection82,Driving_Intent,Turn_right
Intersection83,Driving_Intent,Turn_right
Intersection84,Driving_Intent,Turn_right
Intersection85,Driving_Intent,Turn_right
Intersection86,Driving_Intent,Turn_right
Intersection87,Driving_Intent,Turn_right
Intersection88,Driving_Intent,Turn_right
Intersection89,Driving_Intent,Turn_right
Intersection90,Driving_Intent,Turn_right
Fork1,Driving_Intent,Go_straight
Fork2,Driving_Intent,Go_straight
Fork3,Driving_Intent,Go_straight
Fork4,Driving_Intent,Go_straight
Fork5,Driving_Intent,Go_straight
Fork6,Driving_Intent,Go_straight
Fork7,Driving_Intent,Go_straight
Fork8,Driving_Intent,Go_straight
Fork9,Driving_Intent,Go_straight
Fork10,Driving_Intent,Go_straight
Fork11,Driving_Intent,Go_straight
Fork12,Driving_Intent,Go_straight
Fork13,Driving_Intent,Go_straight
Fork14,Driving_Intent,Go_straight
Fork15,Driving_Intent,Go_straight
Fork16,Driving_Intent,Turn_right
Fork17,Driving_Intent,Turn_right
Fork18,Driving_Intent,Turn_right
Fork19,Driving_Intent,Turn_right
Fork20,Driving_Intent,Turn_right
Fork21,Driving_Intent,Turn_right
Fork22,Driving_Intent,Turn_right
Fork23,Driving_Intent,Turn_right
Fork24,Driving_Intent,Turn_right
Fork25,Driving_Intent,Turn_right
