dsname,object,area
straightaway1,0,b1
straightaway2,1,b2
straightaway3,2,b3
straightaway4,3,b4
straightaway5,4,b5
straightaway6,5,b6
straightaway7,6,b7
straightaway8,7,b8
straightaway9,8,b9
straightaway10,9,b10
straightaway11,10,b11
straightaway12,11,b12
straightaway13,12,b13
straightaway14,13,b14
straightaway15,14,b15
straightaway16,15,b16
straightaway17,16,b17
straightaway18,17,b18
straightaway19,18,b19
straightaway20,19,b20
straightaway21,20,b21
straightaway22,21,b22
straightaway23,22,b23
straightaway24,23,b24
straightaway25,24,b25
straightaway26,25,b26
straightaway27,26,b27
straightaway28,27,b28
straightaway29,28,b29
straightaway30,29,b30
straightaway31,30,b31
straightaway32,31,b32
straightaway33,32,b33
straightaway34,33,b34
straightaway35,34,b35
straightaway36,35,b36
straightaway37,36,b37
straightaway38,37,b38
straightaway39,38,b39
straightaway40,39,b40
Intersection1,40,b41
Intersection2,41,b42
Intersection3,42,b43
Intersection4,43,b44
Intersection5,44,b45
Intersection6,45,b46
Intersection7,46,b47
Intersection8,47,b48
Intersection9,48,b49
Intersection10,49,b50
Intersection11,50,b51
Intersection12,51,b52
Intersection13,52,b53
Intersection14,53,b54
Intersection15,54,b55
Intersection16,55,b56
Intersection17,56,b57
Intersection18,57,b58
Intersection19,58,b59
Intersection20,59,b60
Intersection21,60,b61
Intersection22,61,b62
Intersection23,62,b63
Intersection24,63,b64
Intersection25,64,b65
Intersection26,65,b66
Intersection27,66,b67
Intersection28,67,b68
Intersection29,68,b69
Intersection30,69,b70
Intersection31,70,b71
Intersection32,71,b72
Intersection33,72,b73
Intersection34,73,b74
Intersection35,74,b75
Intersection36,75,b76
Intersection37,76,b77
Intersection38,77,b78
Intersection39,78,b79
Intersection40,79,b80
Intersection41,80,b81
Intersection42,81,b82
Intersection43,82,b83
Intersection44,83,b84
Intersection45,84,b85
Intersection46,85,b86
Intersection47,86,b87
Intersection48,87,b88
Intersection49,88,b89
Intersection50,89,b90
Intersection51,90,b91
Intersection52,91,b92
Intersection53,92,b93
Intersection54,93,b94
Intersection55,94,b95
Intersection56,95,b96
Intersection57,96,b97
Intersection58,97,b98
Intersection59,98,b99
Intersection60,99,b100
Intersection61,100,b101
Intersection62,101,b102
Intersection63,102,b103
Intersection64,103,b104
Intersection65,104,b105
Intersection66,105,b106
Intersection67,106,b107
Intersection68,107,b108
Intersection69,108,b109
Intersection70,109,b110
Intersection71,110,b111
Intersection72,111,b112
Intersection73,112,b113
Intersection74,113,b114
Intersection75,114,b115
Intersection76,115,b116
Intersection77,116,b117
Intersection78,117,b118
Intersection79,118,b119
Intersection80,119,b120
Intersection81,120,b121
Intersection82,121,b122
Intersection83,122,b123
Intersection84,123,b124
Intersection85,124,b125
Intersection86,125,b126
Intersection87,126,b127
Intersection88,127,b128
Intersection89,128,b129
Intersection90,129,b130
Fork1,130,b131
Fork2,131,b132
Fork3,132,b133
Fork4,133,b134
Fork5,134,b135
Fork6,135,b136
Fork7,136,b137
Fork8,137,b138
Fork9,138,b139
Fork10,139,b140
Fork11,140,b141
Fork12,141,b142
Fork13,142,b143
Fork14,143,b144
Fork15,144,b145
Fork16,145,b146
Fork17,146,b147
Fork18,147,b148
Fork19,148,b149
Fork20,149,b150
Fork21,150,b151
Fork22,151,b152
Fork23,152,b153
Fork24,153,b154
Fork25,154,b155
